,ID,rownum,colnum,LAT,LON
2298,2298.0,45.0,48.0,38.08302747627578,114.68573927950403
2299,2299.0,45.0,49.0,38.081958405255975,114.7888888588275
2300,2300.0,46.0,0.0,38.110726141694514,109.73164516781036
2301,2301.0,46.0,1.0,38.113934632179365,109.83476469720785
2302,2302.0,46.0,2.0,38.1170541296345,109.93789304808153
2303,2303.0,46.0,3.0,38.120084622936595,110.04102997338536
2304,2304.0,46.0,4.0,38.12302610127927,110.14417522594965
2305,2305.0,46.0,5.0,38.125878554173006,110.24732855848463
2306,2306.0,46.0,6.0,38.128641971445255,110.35048972358398
2307,2307.0,46.0,7.0,38.131316343240606,110.4536584737284
2308,2308.0,46.0,8.0,38.1339016600208,110.55683456128908
2309,2309.0,46.0,9.0,38.136397912564746,110.66001773853134
2310,2310.0,46.0,10.0,38.13880509196874,110.76320775761812
2311,2311.0,46.0,11.0,38.14112318964643,110.86640437061358
2312,2312.0,46.0,12.0,38.14335219732888,110.96960732948662
2313,2313.0,46.0,13.0,38.145492107064676,111.07281638611452
2314,2314.0,46.0,14.0,38.14754291121998,111.17603129228638
2315,2315.0,46.0,15.0,38.14950460247857,111.27925179970684
2316,2316.0,46.0,16.0,38.15137717384194,111.38247765999954
2317,2317.0,46.0,17.0,38.15316061862925,111.48570862471075
2318,2318.0,46.0,18.0,38.154854930477555,111.58894444531298
2319,2319.0,46.0,19.0,38.15646010334168,111.69218487320845
2320,2320.0,46.0,20.0,38.15797613149434,111.7954296597328
2321,2321.0,46.0,21.0,38.159403009526216,111.89867855615864
2322,2322.0,46.0,22.0,38.16074073234599,112.00193131369907
2323,2323.0,46.0,23.0,38.16198929518028,112.1051876835114
2324,2324.0,46.0,24.0,38.16314869357379,112.20844741670064
2325,2325.0,46.0,25.0,38.16421892338935,112.31171026432311
2326,2326.0,46.0,26.0,38.16519998080792,112.41497597739009
2327,2327.0,46.0,27.0,38.16609186232851,112.5182443068714
2328,2328.0,46.0,28.0,38.16689456476843,112.62151500369893
2329,2329.0,46.0,29.0,38.16760808526309,112.72478781877038
2330,2330.0,46.0,30.0,38.1682324212662,112.82806250295275
2331,2331.0,46.0,31.0,38.16876757054973,112.93133880708595
2332,2332.0,46.0,32.0,38.16921353120381,113.0346164819865
2333,2333.0,46.0,33.0,38.16957030163693,113.13789527845101
2334,2334.0,46.0,34.0,38.169837880575884,113.2411749472599
2335,2335.0,46.0,35.0,38.17001626706571,113.34445523918096
2336,2336.0,46.0,36.0,38.17010546046979,113.44773590497292
2337,2337.0,46.0,37.0,38.17010546046979,113.55101669538908
2338,2338.0,46.0,38.0,38.17001626706571,113.65429736118102
2339,2339.0,46.0,39.0,38.169837880575884,113.75757765310208
2340,2340.0,46.0,40.0,38.16957030163693,113.86085732191097
2341,2341.0,46.0,41.0,38.16921353120381,113.96413611837549
2342,2342.0,46.0,42.0,38.16876757054973,114.06741379327605
2343,2343.0,46.0,43.0,38.1682324212662,114.17069009740925
2344,2344.0,46.0,44.0,38.16760808526309,114.27396478159162
2345,2345.0,46.0,45.0,38.16689456476843,114.37723759666305
2346,2346.0,46.0,46.0,38.16609186232851,114.4805082934906
2347,2347.0,46.0,47.0,38.16519998080792,114.58377662297191
2348,2348.0,46.0,48.0,38.16421892338935,114.68704233603889
2349,2349.0,46.0,49.0,38.16314869357379,114.79030518366136
2350,2350.0,47.0,0.0,38.19185839459255,109.72750628367316
2351,2351.0,47.0,1.0,38.19507035946559,109.83073885757241
2352,2352.0,47.0,2.0,38.198193234985816,109.93398028202328
2353,2353.0,47.0,3.0,38.20122701001412,110.03723030916868
2354,2354.0,47.0,4.0,38.20417167372875,110.14048869102714
2355,2355.0,47.0,5.0,38.20702721562511,110.24375517949652
2356,2356.0,47.0,6.0,38.20979362551629,110.34702952635742
2357,2357.0,47.0,7.0,38.21247089353278,110.45031148327686
2358,2358.0,47.0,8.0,38.21505901012273,110.55360080181177
2359,2359.0,47.0,9.0,38.217557966051935,110.65689723341264
2360,2360.0,47.0,10.0,38.21996775240396,110.76020052942695
2361,2361.0,47.0,11.0,38.22228836058025,110.8635104411029
2362,2362.0,47.0,12.0,38.224519782300014,110.96682671959296
2363,2363.0,47.0,13.0,38.22666200960064,111.07014911595732
2364,2364.0,47.0,14.0,38.22871503483727,111.1734773811677
2365,2365.0,47.0,15.0,38.23067885068331,111.27681126611074
2366,2366.0,47.0,16.0,38.23255345013025,111.3801505215917
2367,2367.0,47.0,17.0,38.23433882648776,111.4834948983381
2368,2368.0,47.0,18.0,38.2360349733838,111.5868441470031
2369,2369.0,47.0,19.0,38.237641884764585,111.69019801816944
2370,2370.0,47.0,20.0,38.239159554894655,111.79355626235275
2371,2371.0,47.0,21.0,38.24058797835701,111.8969186300053
2372,2372.0,47.0,22.0,38.24192715005297,112.00028487151957
2373,2373.0,47.0,23.0,38.243177065202445,112.10365473723189
2374,2374.0,47.0,24.0,38.244337719343775,112.20702797742604
2375,2375.0,47.0,25.0,38.24540910833387,112.31040434233684
2376,2376.0,47.0,26.0,38.24639122834822,112.4137835821538
2377,2377.0,47.0,27.0,38.24728407588087,112.51716544702474
2378,2378.0,47.0,28.0,38.24808764774457,112.62054968705938
2379,2379.0,47.0,29.0,38.24880194107072,112.72393605233302
2380,2380.0,47.0,30.0,38.24942695330929,112.8273242928901
2381,2381.0,47.0,31.0,38.249962682229096,112.93071415874786
2382,2382.0,47.0,32.0,38.2504091259176,113.03410539989994
2383,2383.0,47.0,33.0,38.250766282780994,113.13749776632005
2384,2384.0,47.0,34.0,38.2510341515442,113.24089100796557
2385,2385.0,47.0,35.0,38.251212731250966,113.34428487478118
2386,2386.0,47.0,36.0,38.25130202126373,113.44767911670245
